timestamp,src_account,dst_account,amount_inr,channel,note
2026-03-14T20:00:00+05:30,acc:a12,acc:a00,52538,NEFT,produce settlement
2026-01-26T18:00:00+05:30,acc:a13,acc:a00,179156,NEFT,produce settlement
2026-02-20T21:00:00+05:30,acc:a14,acc:a00,74086,NEFT,produce settlement
2026-05-07T21:00:00+05:30,acc:a15,acc:a00,241204,NEFT,produce settlement
2026-05-19T17:00:00+05:30,acc:a16,acc:a00,211167,NEFT,produce settlement
2026-05-02T22:00:00+05:30,acc:a17,acc:a00,108962,NEFT,produce settlement
2026-02-16T22:00:00+05:30,acc:a11,acc:a00,139753,NEFT,produce settlement
2026-04-20T19:00:00+05:30,acc:a12,acc:a00,181345,NEFT,produce settlement
2026-04-28T02:00:00+05:30,acc:a13,acc:a00,180057,NEFT,produce settlement
2026-03-06T20:00:00+05:30,acc:a14,acc:a00,150346,NEFT,produce settlement
2026-03-08T21:00:00+05:30,acc:a15,acc:a00,117026,NEFT,produce settlement
2026-01-23T18:00:00+05:30,acc:a16,acc:a00,60406,NEFT,produce settlement
2026-02-28T02:00:00+05:30,acc:a17,acc:a00,124969,NEFT,produce settlement
2026-05-23T01:00:00+05:30,acc:a11,acc:a00,266004,NEFT,produce settlement
2026-04-02T21:00:00+05:30,acc:a12,acc:a00,56350,NEFT,produce settlement
2026-04-09T01:00:00+05:30,acc:a13,acc:a00,187059,NEFT,produce settlement
2026-01-16T01:00:00+05:30,acc:a14,acc:a00,279733,NEFT,produce settlement
2026-04-16T21:00:00+05:30,acc:a15,acc:a00,110161,NEFT,produce settlement
2026-02-17T00:00:00+05:30,acc:a16,acc:a00,75604,NEFT,produce settlement
2026-02-16T20:00:00+05:30,acc:a17,acc:a00,128720,NEFT,produce settlement
2026-01-13T20:00:00+05:30,acc:a11,acc:a00,205195,NEFT,produce settlement
2026-01-15T18:00:00+05:30,acc:a12,acc:a00,54370,NEFT,produce settlement
2026-04-29T21:00:00+05:30,acc:a13,acc:a00,96691,NEFT,produce settlement
2026-02-11T18:00:00+05:30,acc:a14,acc:a00,101876,NEFT,produce settlement
2026-04-15T18:00:00+05:30,acc:a15,acc:a00,206743,NEFT,produce settlement
2026-02-18T02:00:00+05:30,acc:a16,acc:a00,220776,NEFT,produce settlement
2026-04-16T18:00:00+05:30,acc:a17,acc:a00,129503,NEFT,produce settlement
2026-03-18T02:00:00+05:30,acc:a11,acc:a00,84646,NEFT,produce settlement
2026-01-17T19:00:00+05:30,acc:a12,acc:a00,253170,NEFT,produce settlement
2026-05-16T01:00:00+05:30,acc:a13,acc:a00,162249,NEFT,produce settlement
2026-01-27T00:00:00+05:30,acc:a14,acc:a00,265571,NEFT,produce settlement
2026-02-11T02:00:00+05:30,acc:a15,acc:a00,130138,NEFT,produce settlement
2026-02-11T23:00:00+05:30,acc:a16,acc:a00,56721,NEFT,produce settlement
2026-04-17T22:00:00+05:30,acc:a17,acc:a00,258408,NEFT,produce settlement
2026-04-08T00:00:00+05:30,acc:a11,acc:a00,238942,NEFT,produce settlement
2026-01-16T22:00:00+05:30,acc:a12,acc:a00,225182,NEFT,produce settlement
2026-03-15T22:00:00+05:30,acc:a13,acc:a00,83529,NEFT,produce settlement
2026-03-03T18:00:00+05:30,acc:a14,acc:a00,168023,NEFT,produce settlement
2026-02-04T23:00:00+05:30,acc:a15,acc:a00,91414,NEFT,produce settlement
2026-02-06T19:00:00+05:30,acc:a16,acc:a00,228342,NEFT,produce settlement
2026-02-24T21:00:00+05:30,acc:a17,acc:a00,73728,NEFT,produce settlement
2026-03-18T01:00:00+05:30,acc:a11,acc:a00,215997,NEFT,produce settlement
2026-05-19T23:00:00+05:30,acc:a12,acc:a00,263375,NEFT,produce settlement
2026-04-01T23:00:00+05:30,acc:a13,acc:a00,182492,NEFT,produce settlement
2026-04-30T17:00:00+05:30,acc:a14,acc:a00,243023,NEFT,produce settlement
2026-04-01T22:00:00+05:30,acc:a15,acc:a00,204444,NEFT,produce settlement
2026-01-28T17:00:00+05:30,acc:a16,acc:a00,71857,NEFT,produce settlement
2026-03-11T18:00:00+05:30,acc:a17,acc:a00,84766,NEFT,produce settlement
2026-03-16T00:00:00+05:30,acc:a11,acc:a00,192639,NEFT,produce settlement
2026-05-06T19:00:00+05:30,acc:a12,acc:a00,245113,NEFT,produce settlement
2026-04-18T02:00:00+05:30,acc:a13,acc:a00,219264,NEFT,produce settlement
2026-02-21T00:00:00+05:30,acc:a14,acc:a00,80116,NEFT,produce settlement
2026-01-22T02:00:00+05:30,acc:a15,acc:a00,270850,NEFT,produce settlement
2026-02-26T23:00:00+05:30,acc:a16,acc:a00,179469,NEFT,produce settlement
2026-03-11T18:00:00+05:30,acc:a17,acc:a00,267649,NEFT,produce settlement
2026-03-24T22:00:00+05:30,acc:a11,acc:a00,278237,NEFT,produce settlement
2026-02-27T21:00:00+05:30,acc:a12,acc:a00,164400,NEFT,produce settlement
2026-01-28T21:00:00+05:30,acc:a13,acc:a00,191092,NEFT,produce settlement
2026-05-17T22:00:00+05:30,acc:a14,acc:a00,105892,NEFT,produce settlement
2026-02-19T02:00:00+05:30,acc:a15,acc:a00,189705,NEFT,produce settlement
2026-04-20T23:00:00+05:30,acc:a16,acc:a00,118101,NEFT,produce settlement
2026-05-11T01:00:00+05:30,acc:a17,acc:a00,219132,NEFT,produce settlement
2026-03-28T21:00:00+05:30,acc:a11,acc:a00,121526,NEFT,produce settlement
2026-05-08T17:00:00+05:30,acc:a12,acc:a00,191754,NEFT,produce settlement
2026-05-10T20:00:00+05:30,acc:a13,acc:a00,253872,NEFT,produce settlement
2026-03-05T17:00:00+05:30,acc:a14,acc:a00,263932,NEFT,produce settlement
2026-01-22T17:00:00+05:30,acc:a15,acc:a00,99991,NEFT,produce settlement
2026-02-19T19:00:00+05:30,acc:a16,acc:a00,77972,NEFT,produce settlement
2026-01-31T21:00:00+05:30,acc:a17,acc:a00,257655,NEFT,produce settlement
2026-05-11T18:00:00+05:30,acc:a11,acc:a00,95984,NEFT,produce settlement
2026-01-13T23:00:00+05:30,acc:a12,acc:a00,134568,NEFT,produce settlement
2026-05-03T18:00:00+05:30,acc:a13,acc:a00,172007,NEFT,produce settlement
2026-02-03T20:00:00+05:30,acc:a14,acc:a00,251959,NEFT,produce settlement
2026-03-28T01:00:00+05:30,acc:a15,acc:a00,166090,NEFT,produce settlement
2026-03-07T18:00:00+05:30,acc:a16,acc:a00,69904,NEFT,produce settlement
2026-05-24T02:00:00+05:30,acc:a17,acc:a00,130906,NEFT,produce settlement
2026-01-22T18:00:00+05:30,acc:a11,acc:a00,200037,NEFT,produce settlement
2026-03-19T22:00:00+05:30,acc:a12,acc:a00,160055,NEFT,produce settlement
2026-03-27T02:00:00+05:30,acc:a13,acc:a00,185568,NEFT,produce settlement
2026-02-11T00:00:00+05:30,acc:a14,acc:a00,223937,NEFT,produce settlement
2026-04-26T20:00:00+05:30,acc:a15,acc:a00,98861,NEFT,produce settlement
2026-05-22T00:00:00+05:30,acc:a16,acc:a00,182935,NEFT,produce settlement
2026-02-12T02:00:00+05:30,acc:a17,acc:a00,214116,NEFT,produce settlement
2026-04-01T22:00:00+05:30,acc:a11,acc:a00,54674,NEFT,produce settlement
2026-04-28T19:00:00+05:30,acc:a12,acc:a00,158587,NEFT,produce settlement
2026-05-18T17:00:00+05:30,acc:a13,acc:a00,124069,NEFT,produce settlement
2026-04-03T21:00:00+05:30,acc:a14,acc:a00,115583,NEFT,produce settlement
2026-01-21T01:00:00+05:30,acc:a15,acc:a00,244462,NEFT,produce settlement
2026-04-24T18:00:00+05:30,acc:a16,acc:a00,81275,NEFT,produce settlement
2026-03-04T18:00:00+05:30,acc:a17,acc:a00,175964,NEFT,produce settlement
2026-02-04T17:00:00+05:30,acc:a11,acc:a00,92512,NEFT,produce settlement
2026-05-20T22:00:00+05:30,acc:a12,acc:a00,151865,NEFT,produce settlement
2026-05-04T01:00:00+05:30,acc:a13,acc:a00,161363,NEFT,produce settlement
2026-05-25T02:00:00+05:30,acc:a14,acc:a00,90578,NEFT,produce settlement
2026-02-09T22:00:00+05:30,acc:a15,acc:a00,234523,NEFT,produce settlement
2026-03-23T17:00:00+05:30,acc:a16,acc:a00,161113,NEFT,produce settlement
2026-01-16T01:00:00+05:30,acc:a17,acc:a00,229763,NEFT,produce settlement
2026-02-16T00:00:00+05:30,acc:a11,acc:a00,240937,NEFT,produce settlement
2026-03-25T01:00:00+05:30,acc:a12,acc:a00,68791,NEFT,produce settlement
2026-03-11T19:00:00+05:30,acc:a13,acc:a00,99767,NEFT,produce settlement
2026-05-18T23:00:00+05:30,acc:a14,acc:a00,143205,NEFT,produce settlement
2026-03-02T01:00:00+05:30,acc:a15,acc:a00,151226,NEFT,produce settlement
2026-02-27T02:00:00+05:30,acc:a16,acc:a00,78956,NEFT,produce settlement
2026-02-12T18:00:00+05:30,acc:a17,acc:a00,168729,NEFT,produce settlement
2026-02-27T22:00:00+05:30,acc:a11,acc:a00,270523,NEFT,produce settlement
2026-01-27T23:00:00+05:30,acc:a12,acc:a00,76322,NEFT,produce settlement
2026-03-22T19:00:00+05:30,acc:a13,acc:a00,164575,NEFT,produce settlement
2026-05-14T23:00:00+05:30,acc:a14,acc:a00,152541,NEFT,produce settlement
2026-02-21T17:00:00+05:30,acc:a15,acc:a00,182485,NEFT,produce settlement
2026-04-29T21:00:00+05:30,acc:a16,acc:a00,172871,NEFT,produce settlement
2026-02-07T02:00:00+05:30,acc:a17,acc:a00,73907,NEFT,produce settlement
2026-05-23T18:00:00+05:30,acc:a11,acc:a00,145436,NEFT,produce settlement
2026-02-01T20:00:00+05:30,acc:a12,acc:a00,97541,NEFT,produce settlement
2026-04-19T20:00:00+05:30,acc:a13,acc:a00,194111,NEFT,produce settlement
2026-02-18T00:00:00+05:30,acc:a01,acc:a02,222361,RTGS,consultancy / packing
2026-04-25T00:00:00+05:30,acc:a01,acc:a03,163374,RTGS,consultancy / packing
2026-01-19T21:00:00+05:30,acc:a01,acc:a04,60419,RTGS,consultancy / packing
2026-02-23T00:00:00+05:30,acc:a01,acc:a05,225716,RTGS,consultancy / packing
2026-02-05T02:00:00+05:30,acc:a01,acc:a06,44796,RTGS,consultancy / packing
2026-05-24T23:00:00+05:30,acc:a01,acc:a07,65540,RTGS,consultancy / packing
2026-05-31T03:00:00+05:30,acc:a01,acc:a02,58140,RTGS,consultancy / packing
2026-03-03T01:00:00+05:30,acc:a01,acc:a03,143061,RTGS,consultancy / packing
2026-04-09T23:00:00+05:30,acc:a01,acc:a04,240097,RTGS,consultancy / packing
2026-05-01T00:00:00+05:30,acc:a01,acc:a05,224898,RTGS,consultancy / packing
2026-02-24T01:00:00+05:30,acc:a01,acc:a06,154768,RTGS,consultancy / packing
2026-04-10T23:00:00+05:30,acc:a01,acc:a07,150673,RTGS,consultancy / packing
2026-05-26T20:00:00+05:30,acc:a01,acc:a02,77474,RTGS,consultancy / packing
2026-02-03T19:00:00+05:30,acc:a01,acc:a03,186898,RTGS,consultancy / packing
2026-02-21T22:00:00+05:30,acc:a01,acc:a04,174218,RTGS,consultancy / packing
2026-02-01T19:00:00+05:30,acc:a01,acc:a05,217641,RTGS,consultancy / packing
2026-03-10T19:00:00+05:30,acc:a01,acc:a06,77380,RTGS,consultancy / packing
2026-05-27T18:00:00+05:30,acc:a01,acc:a07,192842,RTGS,consultancy / packing
2026-03-01T19:00:00+05:30,acc:a01,acc:a02,199732,RTGS,consultancy / packing
2026-01-26T02:00:00+05:30,acc:a01,acc:a03,87225,RTGS,consultancy / packing
2026-04-08T03:00:00+05:30,acc:a01,acc:a04,227479,RTGS,consultancy / packing
2026-02-16T20:00:00+05:30,acc:a01,acc:a05,244392,RTGS,consultancy / packing
2026-02-13T18:00:00+05:30,acc:a01,acc:a06,54641,RTGS,consultancy / packing
2026-04-06T01:00:00+05:30,acc:a01,acc:a07,215237,RTGS,consultancy / packing
2026-03-11T19:00:00+05:30,acc:a01,acc:a02,185047,RTGS,consultancy / packing
2026-04-17T18:00:00+05:30,acc:a01,acc:a03,221706,RTGS,consultancy / packing
2026-05-14T20:00:00+05:30,acc:a01,acc:a04,200424,RTGS,consultancy / packing
2026-02-17T19:00:00+05:30,acc:a01,acc:a05,117196,RTGS,consultancy / packing
2026-03-15T00:00:00+05:30,acc:a01,acc:a06,214415,RTGS,consultancy / packing
2026-04-27T18:00:00+05:30,acc:a01,acc:a07,243533,RTGS,consultancy / packing
2026-03-30T03:00:00+05:30,acc:a01,acc:a02,187044,RTGS,consultancy / packing
2026-01-29T02:00:00+05:30,acc:a01,acc:a03,147319,RTGS,consultancy / packing
2026-04-14T22:00:00+05:30,acc:a01,acc:a04,146234,RTGS,consultancy / packing
2026-05-03T18:00:00+05:30,acc:a01,acc:a05,156535,RTGS,consultancy / packing
2026-05-05T19:00:00+05:30,acc:a01,acc:a06,239986,RTGS,consultancy / packing
2026-04-30T21:00:00+05:30,acc:a01,acc:a07,253375,RTGS,consultancy / packing
2026-04-15T22:00:00+05:30,acc:a01,acc:a02,210478,RTGS,consultancy / packing
2026-02-07T03:00:00+05:30,acc:a01,acc:a03,42022,RTGS,consultancy / packing
2026-02-24T01:00:00+05:30,acc:a01,acc:a04,192398,RTGS,consultancy / packing
2026-03-24T23:00:00+05:30,acc:a01,acc:a05,80611,RTGS,consultancy / packing
2026-03-04T20:00:00+05:30,acc:a01,acc:a06,133988,RTGS,consultancy / packing
2026-02-16T18:00:00+05:30,acc:a01,acc:a07,114351,RTGS,consultancy / packing
2026-05-03T20:00:00+05:30,acc:a01,acc:a02,245553,RTGS,consultancy / packing
2026-01-12T02:00:00+05:30,acc:a01,acc:a03,253792,RTGS,consultancy / packing
2026-04-04T22:00:00+05:30,acc:a01,acc:a04,248774,RTGS,consultancy / packing
2026-05-26T21:00:00+05:30,acc:a01,acc:a05,180253,RTGS,consultancy / packing
2026-02-11T19:00:00+05:30,acc:a01,acc:a06,241738,RTGS,consultancy / packing
2026-02-06T00:00:00+05:30,acc:a01,acc:a07,114649,RTGS,consultancy / packing
2026-03-01T23:00:00+05:30,acc:a01,acc:a02,185540,RTGS,consultancy / packing
2026-05-01T00:00:00+05:30,acc:a01,acc:a03,194628,RTGS,consultancy / packing
2026-03-23T22:00:00+05:30,acc:a01,acc:a04,65551,RTGS,consultancy / packing
2026-03-11T22:00:00+05:30,acc:a01,acc:a05,50340,RTGS,consultancy / packing
2026-03-01T00:00:00+05:30,acc:a01,acc:a06,50575,RTGS,consultancy / packing
2026-04-19T21:00:00+05:30,acc:a01,acc:a07,135438,RTGS,consultancy / packing
2026-04-29T18:00:00+05:30,acc:a01,acc:a02,94378,RTGS,consultancy / packing
2026-05-02T02:00:00+05:30,acc:a01,acc:a03,116751,RTGS,consultancy / packing
2026-03-03T00:00:00+05:30,acc:a01,acc:a04,109619,RTGS,consultancy / packing
2026-03-05T22:00:00+05:30,acc:a01,acc:a05,206962,RTGS,consultancy / packing
2026-03-18T00:00:00+05:30,acc:a01,acc:a06,167006,RTGS,consultancy / packing
2026-02-07T19:00:00+05:30,acc:a01,acc:a07,239100,RTGS,consultancy / packing
2026-05-21T22:00:00+05:30,acc:a01,acc:a02,52147,RTGS,consultancy / packing
2026-01-13T00:00:00+05:30,acc:a01,acc:a03,200676,RTGS,consultancy / packing
2026-02-21T19:00:00+05:30,acc:a01,acc:a04,72378,RTGS,consultancy / packing
2026-04-07T19:00:00+05:30,acc:a01,acc:a05,165145,RTGS,consultancy / packing
2026-03-17T02:00:00+05:30,acc:a01,acc:a06,164690,RTGS,consultancy / packing
2026-03-04T00:00:00+05:30,acc:a01,acc:a07,141137,RTGS,consultancy / packing
2026-03-29T21:00:00+05:30,acc:a01,acc:a02,252385,RTGS,consultancy / packing
2026-03-16T20:00:00+05:30,acc:a01,acc:a03,255601,RTGS,consultancy / packing
2026-01-28T03:00:00+05:30,acc:a01,acc:a04,204530,RTGS,consultancy / packing
2026-02-19T19:00:00+05:30,acc:a01,acc:a05,82507,RTGS,consultancy / packing
2026-02-06T03:00:00+05:30,acc:a01,acc:a06,246688,RTGS,consultancy / packing
2026-05-29T00:00:00+05:30,acc:a01,acc:a07,53469,RTGS,consultancy / packing
2026-05-26T02:00:00+05:30,acc:a01,acc:a02,71676,RTGS,consultancy / packing
2026-04-02T22:00:00+05:30,acc:a01,acc:a03,188364,RTGS,consultancy / packing
2026-02-18T20:00:00+05:30,acc:a01,acc:a04,54070,RTGS,consultancy / packing
2026-02-28T01:00:00+05:30,acc:a01,acc:a05,56690,RTGS,consultancy / packing
2026-05-25T19:00:00+05:30,acc:a01,acc:a06,153556,RTGS,consultancy / packing
2026-04-23T21:00:00+05:30,acc:a01,acc:a07,185932,RTGS,consultancy / packing
2026-02-08T01:00:00+05:30,acc:a01,acc:a02,112797,RTGS,consultancy / packing
2026-02-14T18:00:00+05:30,acc:a01,acc:a03,133914,RTGS,consultancy / packing
2026-01-21T00:00:00+05:30,acc:a01,acc:a04,111790,RTGS,consultancy / packing
2026-04-27T19:00:00+05:30,acc:a01,acc:a05,87849,RTGS,consultancy / packing
2026-03-10T23:00:00+05:30,acc:a01,acc:a06,69197,RTGS,consultancy / packing
2026-05-16T21:00:00+05:30,acc:a01,acc:a07,111957,RTGS,consultancy / packing
2026-02-24T21:00:00+05:30,acc:a01,acc:a02,50338,RTGS,consultancy / packing
2026-02-02T19:00:00+05:30,acc:a01,acc:a03,121682,RTGS,consultancy / packing
2026-05-26T00:00:00+05:30,acc:a01,acc:a04,159429,RTGS,consultancy / packing
2026-04-03T02:00:00+05:30,acc:a01,acc:a05,64500,RTGS,consultancy / packing
2026-01-20T19:00:00+05:30,acc:a01,acc:a06,178551,RTGS,consultancy / packing
2026-03-04T22:00:00+05:30,acc:a01,acc:a07,41070,RTGS,consultancy / packing
2026-03-20T00:00:00+05:30,acc:a01,acc:a02,157240,RTGS,consultancy / packing
2026-02-26T21:00:00+05:30,acc:a01,acc:a03,226723,RTGS,consultancy / packing
2026-03-18T19:00:00+05:30,acc:a01,acc:a04,70292,RTGS,consultancy / packing
2026-01-20T01:00:00+05:30,acc:a01,acc:a05,91954,RTGS,consultancy / packing
2026-05-15T23:00:00+05:30,acc:a01,acc:a06,101986,RTGS,consultancy / packing
2026-02-02T22:00:00+05:30,acc:a01,acc:a07,208760,RTGS,consultancy / packing
2026-03-11T00:00:00+05:30,acc:a01,acc:a02,110723,RTGS,consultancy / packing
2026-01-17T01:00:00+05:30,acc:a01,acc:a03,187136,RTGS,consultancy / packing
2026-05-12T21:00:00+05:30,acc:a01,acc:a04,53874,RTGS,consultancy / packing
